Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
ADARA;Mujer;BOTA;cuero;55,99€;No;?;58678-C48148;Material principal:Textil$Altura:6.50 cm;
GLANY;Mujer;Zapato;marron;45,90€;No;?;50150-C27834;Material principal:Textil$Altura:7 cm;
MAYRAS;Mujer;Zapato;negro;45,90€;No;?;58369-C50055;Altura:5 cm;
MIRIANA;Mujer;Bota;taupe;55,90€;No;?;50165-C50065;Altura:7.50 cm;
PANABI;Mujer;Bota;negro;49,90€;No;?;50193-C48487;Altura:6 cm;
ALISON;Mujer;Bota;taupe;59,90€;No;?;50290-C50065;Material principal:Sintetico$Altura:7.50 cm$Material de la suela:De goma$Tipo de tacón:Vaquero$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Goma$Tipo de puntera:Abierta$Tipo de caña:Alta;
MENSIA;Mujer;Bota;marron;59,90€;No;?;50294-C50090;Altura:4.50 cm;
MENSIA;Mujer;Bota;azul;59,90€;No;?;50294-C50092;Altura:4.50 cm;
MAKA;Mujer;Bota;negro;59,90€;No;?;58577-C48487;Altura:5 cm;
58964;Mujer;Botas;marron;99,90€;No;?;58964-333104;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
ALMA;Mujer;Botín;negro;45,90€;No;?;50192-C50062;Altura:3 cm$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
BESSI;Mujer;Botín;marron;49,90€;No;?;50202-C28595;Material principal:Sintetico$Altura:3 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
MUSCA;Mujer;Botín;negro;49,90€;No;?;50259-C50055;Altura:6 cm;
PERSEA;Mujer;Botín;negro;49,90€;No;?;50265-C27784;Material principal:Textil$Altura:3 cm;
TACANA;Mujer;Botín;negro;49,90€;No;?;50296-C47638;Material principal:Sintetico$Altura:4 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
MIRTA;Mujer;Botín;negro;49,90€;No;?;58336-C31025;Material principal:Sintetico$Altura:2 cm;
NEW CLODE;Mujer;Botín;negro;49,90€;No;?;58440-C48871;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Baja;
NEW CLODE;Mujer;Botín;verde;49,90€;No;?;58440-C50036;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Baja;
GLAMSA;Mujer;Botín;negro;49,90€;No;?;58571-C50061;Material principal:Sintetico$Altura:7 cm$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
LISON;Mujer;Botín;marron;55,90€;No;?;58597-C50060;Altura:5 cm;
LUNI;Mujer;Botín;negro;49,90€;No;?;58616-C50074;Altura:6 cm;
SCORPIUS;Mujer;Botín;negro;49,90€;No;?;58647-C48487;Altura:8 cm;
SCORPIUS;Mujer;Botín;marron;49,90€;No;?;58647-C50073;Altura:8 cm;
SABA;Mujer;Botín;negro;45,90€;No;?;58660-C50074;Material principal:Sintetico$Altura:8 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
MAYRA;Mujer;Botín;negro;49,90€;No;?;58679-C48871;Material principal:Sintetico$Altura:5 cm;
STORMI;Mujer;Botín;negro;49,90€;No;?;58709-C48871;Material principal:Sintetico$Altura:33 cm$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
PANA;Mujer;Botín;marron;39,90€;No;?;58712-C50073;Altura:6 cm$Material de la suela:Sintética$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
JOGGO;Mujer;Deportivo;gris;39,90€;No;?;69362-C50129;Material principal:Sintetico$Altura:2.50 cm$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
ALEXIA;Mujer;Deportiva;nude;45,90€;No;?;69413-C50046;Altura:5.50 cm;
ALEXIA;Mujer;Deportiva;beige;45,90€;No;?;69413-C50047;Altura:5.50 cm;
CORE;Mujer;Deportiva;negro;39,90€;No;?;69418-C50111;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
BIGGER-K;Mujer;Deportiva;negro;29,90€;No;?;69423-C20291;Material principal:Textil$Altura:4 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Textil$Tipo de puntera:Redonda;
